time,dissolved_oxygen
UTC,ml/L
2015-01-01T00:00:00Z,2.64
2015-02-01T00:00:00Z,NaN
2015-03-01T00:00:00Z,NaN
2015-04-01T00:00:00Z,2.08
2015-05-01T00:00:00Z,NaN
2015-06-01T00:00:00Z,NaN
2015-07-01T00:00:00Z,2.22
2015-08-01T00:00:00Z,NaN
2015-09-01T00:00:00Z,NaN
2015-10-01T00:00:00Z,2.5
2015-11-01T00:00:00Z,NaN
2015-12-01T00:00:00Z,NaN
2016-01-01T00:00:00Z,2.25
2016-02-01T00:00:00Z,NaN
2016-03-01T00:00:00Z,NaN
2016-04-01T00:00:00Z,1.86
2016-05-01T00:00:00Z,NaN
2016-06-01T00:00:00Z,NaN
2016-07-01T00:00:00Z,2.16
2016-08-01T00:00:00Z,NaN
2016-09-01T00:00:00Z,NaN
2016-10-01T00:00:00Z,NaN
2016-11-01T00:00:00Z,2.71
2016-12-01T00:00:00Z,NaN
2017-01-01T00:00:00Z,2.71
2017-02-01T00:00:00Z,NaN
2017-03-01T00:00:00Z,2.6322
2017-04-01T00:00:00Z,NaN
2017-05-01T00:00:00Z,NaN
2017-06-01T00:00:00Z,NaN
2017-07-01T00:00:00Z,NaN
2017-08-01T00:00:00Z,1.8116
